input,output
Facility: POL_MatureDairyCattle_11617 | Country: POL | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Toyokawa City | Country: JPN | Sector: rice-cultivation | EmissionReductionPotential(Mt): 0.003 | Difficulty: Long-term,Changes in fertilizer composition (to include potassium and phosphorus in addition to nitrogen) encourages the production of micro-organisms that help control methane.
Facility: Guachinango Municipality | Country: MEX | Sector: rock-quarrying | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Replacement of all diesel-powered mining vehicles and plant machinery with electric equivalents
Facility: BRA_OtherBeefCattle_5374 | Country: BRA | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Negomir Commune | Country: ROU | Sector: fluorinated-gases | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Replace the use of refrigerants in refrigeration and air conditioning equipment with low global warming potential alternatives such as CO2, propane, or ammonia"
Facility: USA_Texas_OtherBeefCattle_21074 | Country: USA | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For non-dairy cattle high productivity, change manure handling to daily spread: the manure is removed within 24hrs of excretion from confined area and applied directly to fields and/or pasture."
Facility: Cinco Pinos Municipality | Country: NIC | Sector: manure-left-on-pasture-cattle | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Rotating herds between multiple pastures allows pastures to recover between seasons and increase carbon stored in the soil and improves feed efficiency. In addition, growing specific fodder crops like plaintain could also reduce N2O."
Facility: BLR_MatureDairyCattle_2641 | Country: BLR | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle low productivity, modify the existing system and change manure handling to dry lot, where the manure is periodically removed from the paved or unpaved confined area and can be spread onto fields."
Facility: Ghelari Commune | Country: ROU | Sector: enteric-fermentation-other | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additive 3-NOP has been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: CHN_MatureDairyCattle_7061 | Country: CHN | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle low productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: ESP_MatureDairyCattle_29039 | Country: ESP | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Covasint Commune | Country: ROU | Sector: road-transportation | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,Replace gasoline passenger cars with electric vehicles
Facility: Arlington WWTW | Country: ZAF | Sector: domestic-wastewater-treatment-and-discharge | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Construct advanced treatment structures and connect with existing secondary treatment effluent
Facility: Jelsa Commune | Country: HRV | Sector: incineration-and-open-burning-of-waste | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Open burning of waste occurs in regions with poor waste management infrastructure. Decentralized waste management practices like neighborhood composting and recycling can reduce the emissions from open burning.
Facility: Kondol'skiy District | Country: RUS | Sector: manure-left-on-pasture-cattle | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Rotating herds between multiple pastures allows pastures to recover between seasons and increase carbon stored in the soil and improves feed efficiency. In addition, growing specific fodder crops like plaintain could also reduce N2O."
Facility: USA_Minnesota_MatureDairyCattle_16548 | Country: USA | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to daily spread: the manure is removed within 24hrs of excretion from confined area and applied directly to fields and/or pasture."
Facility: Mae Lan District | Country: THA | Sector: biological-treatment-of-solid-waste-and-biogenic | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Flare CH4  from anaerobic digestion
Facility: BRA_OtherBeefCattle_13547 | Country: BRA | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For non-dairy cattle low productivity, change manure handling to daily spread: the manure is removed within 24hrs of excretion from confined area and applied directly to fields and/or pasture."
Facility: Tomarza District | Country: TUR | Sector: fluorinated-gases | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,"Replace the use of refrigerants in refrigeration and air conditioning equipment with low global warming potential alternatives such as CO2, propane, or ammonia"
Facility: POL_MatureDairyCattle_22439 | Country: POL | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Praha 16 District | Country: CZE | Sector: crop-residues | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Carbon-to-nitrogen ratio (C:N) in fields determines crop residue decomposition. In low C:N fields, prioritize surface retention under dry conditions, delayed incorporation, removal for processing, or conversion to biochar."
Facility: Mazanovskiy District | Country: RUS | Sector: cropland-fires | EmissionReductionPotential(Mt): 0.013 | Difficulty: Long-term,"This practice involves the removal of crop residues rather than burning biomass after harvest and reprocessing as animal feed, bedding or soil amendments."
Facility: POL_MatureDairyCattle_7883 | Country: POL | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, modify the existing system and change manure handling to dry lot, where the manure is periodically removed from the paved or unpaved confined area and can be spread onto fields."
Facility: Pio IX Municipality | Country: BRA | Sector: shrubgrass-fires | EmissionReductionPotential(Mt): 0.013 | Difficulty: Long-term,"Reduce the risk of grassland fires by: Removing dry grass and brush, creating firebreaks, and land management"
Facility: Kaman District | Country: TUR | Sector: rock-quarrying | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Replacement of all diesel-powered mining vehicles and plant machinery with electric equivalents
Facility: PRT_MatureDairyCattle_36295 | Country: PRT | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Mid-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: USA_Minnesota_MatureDairyCattle_20957 | Country: USA | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Mid-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Vista Alegre do Alto Municipality | Country: BRA | Sector: crop-residues | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term,"Carbon-to-nitrogen ratio (C:N) in fields determines crop residue decomposition. In low C:N fields, prioritize surface retention under dry conditions, delayed incorporation, removal for processing, or conversion to biochar."
Facility: Arida City | Country: JPN | Sector: synthetic-fertilizer-application | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"Apply nitrification and/or urease inhibitors with synthetic N. Meta-analysis average EF ratio ≈ 0.642 (~36% reduction vs conventional). Works best with correct timing, incorporation, and moisture management."
Facility: Radovan Commune | Country: ROU | Sector: manure-management-other | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Implement a funnel or tray system to regularly remove slurry from the pits
Facility: DEU_MatureDairyCattle_6302 | Country: DEU | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: DNK_MatureDairyCattle_875 | Country: DNK | Sector: enteric-fermentation-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Feed additives have been found to deliver 20% mitigation of enteric methane by the consuming ruminants.
Facility: Rio Largo Municipality | Country: BRA | Sector: forest-land-clearing | EmissionReductionPotential(Mt): 0.003 | Difficulty: Long-term,"Forest restoration includes natural regeneration, restoration with native species, Agroforestry and mixed land use, and community forest landscape restoration"
"Facility: Tamarack Foods, Llc | Country: USA | Sector: food-beverage-tobacco | EmissionReductionPotential(Mt): 0.001 | Difficulty: Long-term",Process heat accounts for 60-70% of emissions in many food processing units and many of these processes are inefficient with a lot of potential to reduce emissions by better thermal management and recovery of waste heat.
Facility: Ortenaukreis District | Country: DEU | Sector: road-transportation | EmissionReductionPotential(Mt): 0.225 | Difficulty: Long-term,Replace gasoline passenger cars with electric vehicles
Facility: Valdez-Cordova Census Area | Country: USA | Sector: shrubgrass-fires | EmissionReductionPotential(Mt): 0.012 | Difficulty: Long-term,"Reduce the risk of grassland fires by: Removing dry grass and brush, creating firebreaks, and land management"
Facility: Novo Planalto Municipality | Country: BRA | Sector: forest-land-clearing | EmissionReductionPotential(Mt): 0.011 | Difficulty: Long-term,"Forest restoration includes natural regeneration, restoration with native species, Agroforestry and mixed land use, and community forest landscape restoration"
Facility: USA_Colorado_OtherBeefCattle_1669 | Country: USA | Sector: manure-management-cattle-operation | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,"For non-dairy cattle high productivity, change manure handling to solid storage: where manure is stored, typically for several months, in unconfined piles or stacks."
Facility: Ban Muang District | Country: THA | Sector: manure-applied-to-soils | EmissionReductionPotential(Mt): 0.000 | Difficulty: Long-term,Injecting or incorporating manure slurry below the surface rather than spreading on surface reduces N₂O by limiting anaerobic microsites and promoting better aeration.
